"","maj_playerid","min_playerid"
"1","","abreu-000mik"
"2","","acosta000geo"
"3","ahmedni01","ahmed-000nic"
"4","","alcant002fra"
"5","","alcant000ser"
"6","","allen-005bra"
"7","","almado000bre"
"8","anderch01","anders011cha"
"9","","anders000kyl"
"10","","ard---001tay"
"11","","arroyo001spe"
"12","","baker-001nic"
"13","","baker-000tyl"
"14","","banda-000ant"
"15","","barbos001and"
"16","","barret001jak"
"17","","basora000---"
"18","","bazzan000ant"
"19","","bell--002car"
"20","","belza-001tom"
"21","","benite000anf"
"22","","blair-001aar"
"23","bolsimi01","bolsin001mic"
"24","","bolton000tyl"
"25","","borens000zac"
"26","","bortni001tyl"
"27","","bowman001dan"
"28","","bracho000did"
"29","","bracho000sil"
"30","","bradle000arc"
"31","","bradle006jam"
"32","","branig000mic"
"33","","bray--000col"
"34","brewech01","brewer001cha"
"35","","brito-001soc"
"36","","brooks002eri"
"37","","burgos002enr"
"38","","byo---000ale"
"39","cahiltr01","cahill001tre"
"40","campato01","campan001ton"
"41","","cancio000rob"
"42","","cape--000der"
"43","","carras000ces"
"44","","castil001hen"
"45","","castil014lui"
"46","cedenro02","cedeno001ron"
"47","","cetta-000mik"
"48","chafian01","chafin000and"
"49","","clark-002cod"
"50","","clark-002tyl"
"51","","colon-003fra"
"52","","cooper001bla"
"53","","corder000jac"
"54","","cordob000eno"
"55","","court-000rya"
"56","","cribbs000gal"
"57","","cron--000kev"
"58","cunniaa01","cunnin001aar"
"59","","curtis000zac"
"60","","darrah000jes"
"61","","davis-002lar"
"62","delareu01","delaro001eur"
"63","","deleon009jos"
"64","diazar01","diaz--001arg"
"65","","diaz--000isa"
"66","","doran-002rya"
"67","","dorn--001dan"
"68","","drury-001bra"
"69","","duval-000sta"
"70","","eckels000ben"
"71","","ehmcke000mai"
"72","","eitel-001der"
"73","","espino000ger"
"74","","esquer000zac"
"75","evansni01","evans-001nic"
"76","","felici000fra"
"77","","felix-000wel"
"78","","ferran000jav"
"79","","fitzge002jus"
"80","","fleck-000kal"
"81","","flores000rud"
"82","","freema001mic"
"83","","freema000ron"
"84","","furney000sea"
"85","","garcia001hen"
"86","","garcia000osw"
"87","","garcia009wil"
"88","","garcia000yor"
"89","","gebhar000rya"
"90","","geyer-000cod"
"91","","gibson002dan"
"92","","glaesm001tod"
"93","","glenn-001kei"
"94","godfrgr01","godfre001gra"
"95","","gomez-002ray"
"96","","gonzal000erb"
"97","","gonzal001jus"
"98","","gracia000vic"
"99","","greene001jus"
"100","","greer-000bro"
"101","gregodi01","gregor003mar"
"102","","griffi002jon"
"103","","gutier001yos"
"104","","guzman009car"
"105","hagenbr01","hagens001bra"
"106","","hanige001mit"
"107","","harbin001tay"
"108","harrelu01","harrel001luc"
"109","harriwi10","harris012wil"
"110","","hathaw000ste"
"111","","helmin000hol"
"112","","hernan017car"
"113","","hernan001ger"
"114","","hernan003hec"
"115","","hernan011ram"
"116","","herrer014jos"
"117","","herrer013jos"
"118","","herum-000mar"
"119","","hessle001kei"
"120","","heyman000gra"
"121","","hician000arg"
"122","","hively001ric"
"123","hudsoda01","hudson002dan"
"124","","humphr000tyl"
"125","","ijames001ste"
"126","inciaen01","inciar001end"
"127","","irving000nat"
"128","jacksbr01","jackso003bre"
"129","","jacobs001bra"
"130","jacobmi02","jacobs004mic"
"131","","jameso000tom"
"132","","jamies000sea"
"133","","jeter-000bud"
"134","","jimene003ger"
"135","","jones-002bre"
"136","","jose--001jos"
"137","","keller000bra"
"138","kiescro01","kiesch001rog"
"139","","kostuk000kur"
"140","","krehbi000jos"
"141","lallibl01","lalli-001bla"
"142","lambja01","lamb--002jac"
"143","","landsh000wil"
"144","","lee---003mic"
"145","","locant000wil"
"146","loeka01","loe---001kam"
"147","","loggin000dus"
"148","","lopez-000bj-"
"149","","lopez-045jos"
"150","","madero000lui"
"151","marshev01","marsha000eva"
"152","marteal01","marte-001alf"
"153","martean01","marte-001and"
"154","","martin002dus"
"155","","martin025fra"
"156","","fermin002jos"
"157","","marzil000eva"
"158","","mateo-001wag"
"159","","mayers000jac"
"160","","mccull000mas"
"161","","mcfarl003dan"
"162","","mcphea000mat"
"163","","mcquai001ste"
"164","","medick000spe"
"165","","medran000kev"
"166","","mendez000jac"
"167","","mezqui000mel"
"168","","miller005ada"
"169","","miller001jar"
"170","","mitsui000tre"
"171","","monter000mer"
"172","","montil001ger"
"173","","moya--000gab"
"174","","munoz-009jos"
"175","","munson001kev"
"176","","navarr001rau"
"177","","nelson000gra"
"178","","newton000dal"
"179","","nunez-002ant"
"180","","nyiszt000ste"
"181","","obrien005pet"
"182","oeltjtr01","oeltje001tre"
"183","","omahen000joh"
"184","","ordaz-000jos"
"185","","ovalle000ado"
"186","","ovalle000mel"
"187","owingch01","owings001chr"
"188","","ozuna-000fer"
"189","pachejo01","pachec002jor"
"190","","palka-001dan"
"191","","pardo-002law"
"192","","parede000wil"
"193","","parr--000jor"
"194","","parr--000jos"
"195","","parraz001jor"
"196","paterjo01","paters002jos"
"197","paulxa01","paul--001xav"
"198","","pedrot000joh"
"199","","pena--001fid"
"200","","pena--000ism"
"201","pennicl01","pennin001cli"
"202","peralda01","peralt001sen"
"203","","perez-004fel"
"204","","perez-001gab"
"205","","perez-004mic"
"206","","perry-001bla"
"207","","placid000and"
"208","","platt-000aus"
"209","polloaj01","polloc001aj-"
"210","","potter000and"
"211","","price-002dex"
"212","","pujols002raf"
"213","putzjj01","putz--001jos"
"214","","queliz000jos"
"215","","railey000mat"
"216","","ramire010lui"
"217","","ramire000yef"
"218","","ratlif000tay"
"219","","reed--003cod"
"220","richacl01","richar001cla"
"221","","robert003geo"
"222","","robert000jak"
"223","","robert004nat"
"224","","robins000bj-"
"225","","rodrig002san"
"226","","rodrig004ste"
"227","","rondon000alv"
"228","rossco01","ross--001cod"
"229","","ruiz--001ped"
"230","","samson001nat"
"231","sanabal01","sanabi001ale"
"232","","sanche002ric"
"233","","sanche001yan"
"234","","santan004raf"
"235","","samboy000rau"
"236","","santan000yei"
"237","","sarian001nic"
"238","","savas-000dan"
"239","","schepe000kyl"
"240","","schuge001and"
"241","schulbo02","schult001pat"
"242","","schult003sco"
"243","","schust001pat"
"244","","serran002mar"
"245","","sherfy000jim"
"246","","shiple000bra"
"247","","shuttl000joh"
"248","","simmon000kev"
